team,market_value,year
AFC Bournemouth,€258.65m,2020
AFC Bournemouth,€303.25m,2019
Arsenal,€548.30m,2021
Arsenal,€571.35m,2020
Arsenal,€582.75m,2019
Aston Villa,€397.80m,2021
Aston Villa,€227.75m,2020
Aston Villa,€126.50m,2019
Brentford,€145.15m,2021
Brighton,€297.10m,2021
Brighton,€195.80m,2020
Brighton,€203.95m,2019
Burnley,€131.00m,2021
Burnley,€158.75m,2020
Burnley,€189.25m,2019
Chelsea,€955.50m,2021
Chelsea,€682.30m,2020
Chelsea,€850.65m,2019
Crystal Palace,€181.65m,2021
Crystal Palace,€173.50m,2020
Crystal Palace,€215.40m,2019
Everton,€505.90m,2021
Everton,€416.85m,2020
Everton,€479.75m,2019
Leeds,€221.30m,2021
Leeds,€73.65m,2020
Leeds,€79.10m,2019
Leicester,€493.30m,2021
Leicester,€407.85m,2020
Leicester,€379.53m,2019
Liverpool,€924.00m,2021
Liverpool,€996.95m,2020
Liverpool,€1.11bn,2019
Manchester City,€1.11bn,2021
Manchester City,€1.03bn,2020
Manchester City,€1.17bn,2019
Manchester United,€764.55m,2021
Manchester United,€642.78m,2020
Manchester United,€801.10m,2019
Newcastle United,€239.70m,2021
Newcastle United,€253.28m,2020
Newcastle United,€207.50m,2019
Norwich,€133.25m,2021
Norwich,€133.33m,2020
Norwich,€81.40m,2019
Sheffield United,€120.90m,2020
Sheffield United,€38.55m,2019
Southampton,€268.10m,2021
Southampton,€194.40m,2020
Southampton,€303.10m,2019
Tottenham,€665.00m,2021
Tottenham,€714.40m,2020
Tottenham,€882.00m,2019
Watford,€112.25m,2021
Watford,€192.85m,2020
Watford,€233.30m,2019
West Ham,€274.55m,2021
West Ham,€298.45m,2020
West Ham,€356.25m,2019
Wolverhampton Wanderers,€377.35m,2021
Wolverhampton Wanderers,€302.00m,2020
Wolverhampton Wanderers,€301.25m,2019
West Bromwich Albion,€75.08m,2020
West Bromwich Albion,€92.40m,2021
West Bromwich Albion,€90.00m,2019
Fulham,€150.10m,2021
Fulham,€105.60m,2020
Fulham,€189.25m,2019